datetime,timestamp,open,high,low,close,funding_rate,clt,leverage,entry,pos_size,change,change_pnl,funding,funding_pnl,margin,mm,mm_sl,is_liq,is_sl,fee,final_pnl
2026-01-08,1702598400,43032.3,43098.0,42873.6,42902.1,0.0001,0.999,1,42733.9,42859.1979,0.00393598524824547,-0.00393598524824547,4.9851600368793865e-05,0.002507203173217586,0.9985697877126849,0.04995,0.0624375,False,False,0.0,0.0015072031732175852
2026-01-08,1703404800,43678.7,43700.0,43605.8,43659.8,0.0002079,0.999,1,42733.9,43616.1402,0.021666639365936678,-0.021666639365936678,0.00010271992641895546,0.0026099230996365413,0.9809242079416415,0.04995,0.0624375,False,False,0.0,0.0016099230996365404
2026-01-08,1703433600,43707.1,43750.6,43568.3,43690.2,0.00019729,0.999,1,42733.9,43646.5098,0.022378018388211598,-0.022378018388211598,9.744261518804743e-05,0.0027073657148245886,0.9803096569835965,0.04995,0.0624375,False,False,0.0,0.0017073657148245877
2026-01-08,1703462400,43008.4,43121.5,42755.4,42946.9,0.0001,0.999,1,42733.9,42903.9531,0.004984333281071935,-0.004984333281071935,4.9825391667973206e-05,0.0027571911064925617,0.9977706284538744,0.04995,0.0624375,False,False,0.0,0.0017571911064925608
2026-01-08,1704067200,42314.0,42603.2,42289.6,42503.5,0.00037409,0.999,1,42733.9,42460.9965,-0.005391504168821508,-0.005391504168821508,0.0001873621819486286,0.00294455328844119,0.997550599719339,0.04995,0.0624375,False,False,0.0,0.0019445532884411892
2026-01-08,1704096000,42527.1,42597.3,42489.4,42588.2,0.00027213,0.999,1,42733.9,42545.6118,-0.003409471169259168,-0.003409471169259168,0.00013616088984732264,0.003080714178288513,0.9996709139229523,0.04995,0.0624375,False,False,0.0,0.002080714178288512
2026-01-08,1704124800,42818.0,42898.9,42693.1,42759.7,0.00033601,0.999,1,42733.9,42716.940299999995,0.0006037361439043858,-0.0006037361439043858,0.00016778627965457164,0.0032485004579430846,1.0026474117257644,0.04995,0.0624375,False,False,0.0,0.0022485004579430837
2026-01-08,1704153600,44230.3,45376.0,44200.9,45179.8,0.00065846,0.999,1,42733.9,45134.620200000005,0.05723559047968946,-0.05723559047968946,0.00031947893327318594,0.0035679793912162705,0.946278667579106,0.04995,0.0624375,False,False,0.0,0.0025679793912162696
2026-01-08,1704182400,45495.6,45905.9,45365.0,45816.8,0.00035179,0.999,1,42733.9,45770.9832,0.0721417890714398,-0.0721417890714398,0.00016937441500563955,0.00373735380622191,0.9315270918266088,0.04995,0.0624375,False,False,0.0,0.002737353806221909
2026-01-08,1704211200,45215.0,45449.2,44918.0,45393.4,0.0005373,0.999,1,42733.9,45348.0066,0.062233964136201,-0.062233964136201,0.0002600217727674048,0.003997375578989315,0.9417051165593476,0.04995,0.0624375,False,False,0.0,0.002997375578989314
