datetime,timestamp,open,high,low,close,funding_rate
2020-09-23 00:00:00.007,1600819200.007,344.05,344.37,342.01,342.45,0.0001
2020-09-23 08:00:00.001,1600848000.001,335.59,337.21,334.07,336.11,1.632e-05
2020-09-23 16:00:00.001,1600876800.001,338.49,340.20,337.70,339.59,0.0001
2020-09-24 00:00:00.000,1600905600.0,320.64,323.00,316.37,322.45,-1.579e-05
2020-09-24 08:00:00.000,1600934400.0,327.90,328.73,325.32,325.89,3.064e-05
2020-09-24 16:00:00.000,1600963200.0,344.23,349.00,342.90,346.28,5.598e-05
2020-09-25 00:00:00.009,1600992000.009,348.73,350.32,346.27,347.64,5.361e-05
2020-09-25 08:00:00.045,1601020800.045,342.82,342.96,337.50,338.57,0.0001
2020-09-25 16:00:00.000,1601049600.0,347.13,348.88,344.87,346.40,0.0001
2020-09-26 00:00:00.000,1601078400.0,351.88,353.99,350.28,350.47,0.0001
2020-09-26 08:00:00.000,1601107200.0,350.79,351.76,349.39,350.45,0.0001
2020-09-26 16:00:00.005,1601136000.005,352.29,354.64,350.30,354.54,0.0001
2020-09-27 00:00:00.000,1601164800.0,353.89,360.79,353.37,359.81,0.0001
2020-09-27 08:00:00.000,1601193600.0,354.16,354.16,350.18,352.41,0.0001
2020-09-27 16:00:00.019,1601222400.019,355.54,357.32,353.14,353.82,0.0001
2020-09-28 00:00:00.001,1601251200.001,357.29,360.70,356.91,357.74,0.0001
2020-09-28 08:00:00.000,1601280000.0,357.17,359.54,355.88,357.21,0.0001
2020-09-28 16:00:00.002,1601308800.002,364.99,365.94,363.42,364.31,0.0001
2020-09-29 00:00:00.000,1601337600.0,353.84,355.31,351.27,354.47,0.0001
2020-09-29 08:00:00.000,1601366400.0,354.67,355.55,353.90,355.37,-1.526e-05
2020-09-29 16:00:00.000,1601395200.0,355.17,355.55,352.58,354.54,7.388e-05
2020-09-30 00:00:00.005,1601424000.005,359.70,359.93,357.32,357.54,0.0001
2020-09-30 08:00:00.000,1601452800.0,354.74,356.10,353.71,355.26,0.0001
2020-09-30 16:00:00.000,1601481600.0,357.10,358.58,356.21,357.51,-2.8e-06
2020-10-01 00:00:00.000,1601510400.0,359.71,361.14,358.61,359.23,9.937e-05
2020-10-01 08:00:00.000,1601539200.0,363.83,370.44,362.74,367.22,0.0001
2020-10-01 16:00:00.000,1601568000.0,361.01,361.05,345.56,349.87,0.0001
2020-10-02 00:00:00.011,1601596800.011,352.54,352.55,349.62,350.73,4.321e-05
2020-10-02 08:00:00.000,1601625600.0,342.16,343.40,336.00,338.29,0.0001
2020-10-02 16:00:00.005,1601654400.005,342.91,345.34,341.16,344.52,-3.462e-05
2020-10-03 00:00:00.000,1601683200.0,345.44,345.88,343.38,343.80,5.867e-05
2020-10-03 08:00:00.001,1601712000.001,345.80,347.45,344.09,345.42,-0.00011916
2020-10-03 16:00:00.000,1601740800.0,347.18,348.85,346.41,347.60,-3.221e-05
2020-10-04 00:00:00.000,1601769600.0,345.69,347.05,344.60,346.62,-6.7e-06
2020-10-04 08:00:00.003,1601798400.003,348.17,349.19,347.12,347.60,0.0001
2020-10-04 16:00:00.001,1601827200.001,346.53,347.99,346.26,347.92,-6.384e-05
2020-10-05 00:00:00.000,1601856000.0,352.15,356.51,351.85,354.00,0.0001
2020-10-05 08:00:00.000,1601884800.0,350.73,351.30,349.79,350.05,3.05e-06
2020-10-05 16:00:00.012,1601913600.012,352.62,353.79,351.70,353.78,-1.442e-05
2020-10-06 00:00:00.000,1601942400.0,353.45,354.95,351.77,352.23,-4.499e-05
2020-10-06 08:00:00.005,1601971200.005,350.50,351.95,349.29,351.72,9.514e-05
2020-10-06 16:00:00.000,1602000000.0,351.24,352.00,349.38,349.70,4.4e-07
