datetime,timestamp,open,high,low,close,funding_rate
00:00.0,1598284800,11767.87,11788.66,11742.36,11763,0.0001
00:00.0,1598313600,11753.29,11768.67,11735.12,11742.45,0.0001
00:00.0,1598342400,11594.96,11596.58,11518.92,11588.06,0.0001
00:00.0,1598371200,11431.1,11459.38,11311.29,11343.84,0.0004258
00:00.0,1598400000,11327.18,11339.98,11257.71,11288.93,0.00023316
00:00.0,1598428800,11353.3,11381.16,11337.37,11367.33,0.0001
00:00.0,1598457600,11484.57,11548.68,11453.8,11472,0.00013038
00:00.0,1598486400,11466.22,11486.61,11448,11459.85,0.0001
00:00.0,1598515200,11411.32,11411.32,11370,11373.55,0.0001
00:00.0,1598544000,11329.47,11371,11265.1,11279.01,0.0001
00:00.0,1598572800,11335.83,11365.5,11283.19,11357.65,0.0001
00:00.0,1598601600,11382.52,11422.83,11360,11398.29,0.0001
00:00.0,1598630400,11531.42,11544.88,11494.42,11514.35,0.0001
00:00.0,1598659200,11526.85,11543,11475.31,11491.45,0.0001
00:00.0,1598688000,11558.99,11573.32,11527.19,11533.99,0.0001
00:00.0,1598716800,11501.59,11514.28,11480,11512.23,0.0001
00:00.0,1598745600,11466.27,11514.2,11457.88,11508.1,0.0001
00:00.0,1598774400,11595.26,11615,11556,11565.07,0.0001
00:00.0,1598803200,11618.44,11692.63,11583.29,11670.73,0.0001
00:00.0,1598832000,11714.13,11730,11688.06,11701,0.0001
00:00.0,1598860800,11625.35,11636.92,11580,11586.32,0.0001
00:00.0,1598889600,11749,11759,11712.2,11721.54,0.00015461
00:00.0,1598918400,11658.11,11675,11531.34,11618.27,0.0001
00:00.0,1598947200,11934.24,11950,11883.28,11924.02,0.00022961
00:00.0,1598976000,12049.12,12061.07,11989,12008,0.0004686
00:00.0,1599004800,11930.17,11961,11890,11911.27,0.00032895
00:00.0,1599033600,11737.66,11759.48,11667,11724.27,0.00035074
00:00.0,1599062400,11340.84,11368.44,11246.04,11310.71,0.00045038
00:00.0,1599091200,11396.44,11450,11365.53,11418.01,0.00021394
00:00.0,1599120000,11408.61,11475,11357,11395.01,0.00016828
00:00.0,1599148800,10683.82,10747.76,10559,10571.17,0.00024709
00:00.0,1599177600,10141.4,10347.99,10056,10303.61,0.0001
00:00.0,1599206400,10295.78,10443.39,10295,10422,0.0001
00:00.0,1599235200,10428.91,10478.78,10306.29,10436.16,0.0001
00:00.0,1599264000,10448,10567.87,10445,10480.28,0.0001
00:00.0,1599292800,10404.88,10404.89,10318.06,10322.28,0.0001
00:00.0,1599321600,10274.95,10302.19,10016.34,10242.44,0.0001
00:00.0,1599350400,10168.23,10247.19,10117.79,10211.46,0.0001
00:00.0,1599379200,10232.42,10269.88,10176.62,10240.94,0.0001
00:00.0,1599408000,10176.25,10256.99,10145.34,10244.2,0.0001
00:00.0,1599436800,10258.13,10315.13,10243,10282.8,0.0001
00:00.0,1599465600,10116.2,10188.54,10106.66,10143.82,0.0001
00:00.0,1599494400,10147.25,10241.9,10127.23,10201.14,0.0001
00:00.0,1599523200,10379.3,10443.79,10311.18,10323.9,0.0001
00:00.0,1599552000,10270.81,10343.4,10160.11,10180.3,0.0001
00:00.0,1599580800,10102.36,10175,10092,10150.35,0.0001
00:00.0,1599609600,10130,10154.23,10077.58,10118.68,0.0001
00:00.0,1599638400,10191.92,10208.06,10143,10157.96,0.0001
00:00.0,1599667200,10246,10269.02,10200,10241.36,0.0001
00:00.0,1599696000,10219.29,10328.12,10211.67,10275.01,0.0001
00:00.0,1599724800,10274.19,10295,10252,10267.32,0.0001
00:00.0,1599753600,10414.51,10443.51,10303.5,10336.39,0.0001
00:00.0,1599782400,10335.91,10380.5,10333.1,10337.96,0.0001
00:00.0,1599811200,10260,10309,10251.73,10292.83,0.0001
00:00.0,1599840000,10319.09,10347.44,10301.06,10308.89,0.0001
00:00.0,1599868800,10387.81,10399.96,10331.51,10348.76,0.0001
00:00.0,1599897600,10343.7,10343.7,10320,10333.8,0.0001
00:00.0,1599926400,10359.86,10377.01,10349,10370.99,0.0001
00:00.0,1599955200,10438.29,10444.99,10415,10427.91,0.0001
00:00.0,1599984000,10540.05,10557.52,10523.43,10536.34,0.0001
00:00.0,1600012800,10281.78,10298.73,10222,10256.42,0.0001
00:00.0,1600041600,10327.72,10327.73,10241.57,10272.87,0.0001
00:00.0,1600070400,10396.23,10455.39,10350,10357.26,0.0001
00:00.0,1600099200,10687.99,10746.06,10645.97,10717.87,8.68e-06
00:00.0,1600128000,10664.1,10695,10643.45,10672.61,-0.0002227
00:00.0,1600156800,10735.06,10754.43,10592,10640.03,-2.80E-05
00:00.0,1600185600,10780.01,10822.3,10690.37,10778.81,-5.16E-05
00:00.0,1600214400,10776.88,10785,10661.9,10711.52,-0.00011181
