timestamp,symbol,fundingInterval,fundingRate,fundingRateDaily,timestamp_dt,fundingRate_pct
2025-12-10T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,4e-06,1.2e-05,2025-12-10 04:00:00+00:00,0.00039999999999999996
2025-12-09T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,5e-06,1.5e-05,2025-12-09 20:00:00+00:00,0.0005
2025-12-09T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-0.000182,-0.000546,2025-12-09 12:00:00+00:00,-0.0182
2025-12-09T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-2.4e-05,-7.2e-05,2025-12-09 04:00:00+00:00,-0.0024000000000000002
2025-12-08T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,5.7e-05,0.000171,2025-12-08 20:00:00+00:00,0.0057
2025-12-08T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,1.4e-05,4.2e-05,2025-12-08 12:00:00+00:00,0.0014
2025-12-08T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,2.2e-05,6.6e-05,2025-12-08 04:00:00+00:00,0.0022
2025-12-07T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,4.9e-05,0.000147,2025-12-07 20:00:00+00:00,0.0049
2025-12-07T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,2e-05,6.000000000000001e-05,2025-12-07 12:00:00+00:00,0.002
2025-12-07T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-2.4e-05,-7.2e-05,2025-12-07 04:00:00+00:00,-0.0024000000000000002
2025-12-06T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-2.5e-05,-7.500000000000001e-05,2025-12-06 20:00:00+00:00,-0.0025
2025-12-06T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,3.6e-05,0.000108,2025-12-06 12:00:00+00:00,0.0036
2025-12-06T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,4e-05,0.00012000000000000002,2025-12-06 04:00:00+00:00,0.004
2025-12-05T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-5.2e-05,-0.000156,2025-12-05 20:00:00+00:00,-0.0052
2025-12-05T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,6.7e-05,0.000201,2025-12-05 12:00:00+00:00,0.0067
2025-12-05T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,5.1e-05,0.000153,2025-12-05 04:00:00+00:00,0.0051
2025-12-04T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,1.8e-05,5.4e-05,2025-12-04 20:00:00+00:00,0.0018
2025-12-04T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,4.4e-05,0.000132,2025-12-04 12:00:00+00:00,0.0044
2025-12-04T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,3.7e-05,0.00011099999999999999,2025-12-04 04:00:00+00:00,0.0036999999999999997
2025-12-03T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,2.7e-05,8.099999999999999e-05,2025-12-03 20:00:00+00:00,0.0026999999999999997
2025-12-03T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,3e-06,9e-06,2025-12-03 12:00:00+00:00,0.00030000000000000003
2025-12-03T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,3.4e-05,0.000102,2025-12-03 04:00:00+00:00,0.0034
2025-12-02T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-0.000118,-0.000354,2025-12-02 20:00:00+00:00,-0.0118
2025-12-02T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-7.4e-05,-0.00022199999999999998,2025-12-02 12:00:00+00:00,-0.0073999999999999995
2025-12-02T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,0.0,0.0,2025-12-02 04:00:00+00:00,0.0
2025-12-01T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,2025-12-01 20:00:00+00:00,0.01
2025-12-01T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,6e-05,0.00018,2025-12-01 12:00:00+00:00,0.006
2025-12-01T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-0.000109,-0.00032700000000000003,2025-12-01 04:00:00+00:00,-0.0109
2025-11-30T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,5.7e-05,0.000171,2025-11-30 20:00:00+00:00,0.0057
2025-11-30T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,8.1e-05,0.000243,2025-11-30 12:00:00+00:00,0.0081
2025-11-30T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-7e-06,-2.1e-05,2025-11-30 04:00:00+00:00,-0.0007
2025-11-29T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,1.2e-05,3.6e-05,2025-11-29 20:00:00+00:00,0.0012000000000000001
2025-11-29T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-7e-05,-0.00020999999999999998,2025-11-29 12:00:00+00:00,-0.006999999999999999
2025-11-29T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-2.1e-05,-6.3e-05,2025-11-29 04:00:00+00:00,-0.0021
2025-11-28T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,6.7e-05,0.000201,2025-11-28 20:00:00+00:00,0.0067
2025-11-28T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-5.2e-05,-0.000156,2025-11-28 12:00:00+00:00,-0.0052
2025-11-28T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,1.6e-05,4.8e-05,2025-11-28 04:00:00+00:00,0.0015999999999999999
2025-11-27T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-1.9e-05,-5.7e-05,2025-11-27 20:00:00+00:00,-0.0019000000000000002
2025-11-27T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-0.000122,-0.000366,2025-11-27 12:00:00+00:00,-0.012199999999999999
2025-11-27T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,4e-05,0.00012000000000000002,2025-11-27 04:00:00+00:00,0.004
2025-11-26T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,7.3e-05,0.000219,2025-11-26 20:00:00+00:00,0.0073
2025-11-26T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-8.3e-05,-0.000249,2025-11-26 12:00:00+00:00,-0.0083
2025-11-26T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,8.4e-05,0.000252,2025-11-26 04:00:00+00:00,0.0084
2025-11-25T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-2e-05,-6.000000000000001e-05,2025-11-25 20:00:00+00:00,-0.002
2025-11-25T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-0.000155,-0.000465,2025-11-25 12:00:00+00:00,-0.0155
2025-11-25T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-8.6e-05,-0.000258,2025-11-25 04:00:00+00:00,-0.0086
2025-11-24T20:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-0.000131,-0.000393,2025-11-24 20:00:00+00:00,-0.0131
2025-11-24T12:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-4e-05,-0.00012000000000000002,2025-11-24 12:00:00+00:00,-0.004
2025-11-24T04:00:00.000Z,XBTUSD,2000-01-01T08:00:00.000Z,-0.000147,-0.000441,2025-11-24 04:00:00+00:00,-0.0147
